"ID","category","country","description","price","rating","region","title","varietal","vintage"
"115788","White","US","Creamy and intoxicating, this barrel-cradled Chardonnay is deeply complex, edgy and mineral-laden. Gravenstein apple and pear headline, with lemon meringue and spicy nutmeg in supporting roles. Although voluptuous and mind-bendingly intense, it finishes lean and crisp, stamping its imprint on the mind and palate.","75",95,"California","Paul Hobbs 2012 Edward James Estate Chardonnay (Russian River Valley)","Chardonnay","2012"
"115789","Red","US","One of the producer's most limited offerings, this 100% Cabernet hails from a 100-acre site on the western edge of Oakville, also the source of Far Niente's Cabernet. Creamy and mouth-filling from the get-go, with a tannic backbone and structure, it sings in dusty leather and dark cherry, maintaining a fine line between lushness and elegance. On the finish, expect chocolate infused in blackberry spice.","155",95,"California","Nickel &amp; Nickel 2012 Martin Stelling Vineyard Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","2012"
"115790","Red","Italy","This pure expression of Sangiovese opens with aromas of rose petal, leather, game, Mediterranean herb and wild berry. The vibrant, full-bodied palate delivers layers of crushed Morello cherry, raspberry, cinnamon and grilled herb alongside firm, polished tannins and bright acidity. It boasts character and depth. Drink 2017–2030.","85",95,"Tuscany","Sesti 2010  Brunello di Montalcino","Sangiovese","2010"
"115791","Red","France","A parcel of almost 100% Cabernet Franc gives this perfumed, classy wine. It's very structured, mineral-textured and darkly dense. Powerful and concentrated, this intense wine will develop into a major statement. Drink from 2019.","235",95,"Bordeaux","Le Dôme 2012  Saint-Émilion","Bordeaux-style Red Blend","2012"
"115792","Red","Italy","Aromas of dark berry, mint, savory herb, blue flower and a balsamic note lead the nose. On the concentrated palate, notes of white pepper, cinnamon, clove, licorice and tobacco add depth to the black cherry core. Youthfully austere but fine-grained tannins and fresh acidity support the juicy flavors. Give this time to open and develop complexity.","70",95,"Tuscany","Canalicchio di Sopra 2010  Brunello di Montalcino","Sangiovese","2010"
"115793","Red","Italy","Aromas of menthol, leather, pressed violet, forest floor and woodland berry lead off this intense Brunello. The firm, delicious palate offers dried red cherry, crushed raspberry, ground white pepper and licorice alongside a backbone of assertive but fine-grained tannins and racy acidity. It's impeccably balanced and elegant but still young, so give it time to develop to its full potential. Drink 2020–2035.","93",96,"Tuscany","Conti Costanti 2010  Brunello di Montalcino","Sangiovese","2010"
"115794","Red","Italy","Impeccably balanced and loaded with finesse, this subtle stunner opens with aromas of blue flower, forest floor, truffle, moist soil and bright berry. The delineated palate offers juicy red cherry layered with white pepper, cinnamon and mineral alongside brisk acidity and firm but elegant tannins. It already has great depth but it's still young and austere so give it time to develop fully. Drink 2023–2048.","600",96,"Tuscany","Biondi Santi 2008 Riserva  (Brunello di Montalcino)","Sangiovese","2008"
"115795","Red","Italy","This opens with aromas of blue flower, red berry, menthol and baking spice. The delicious palate delivers juicy red cherry, crushed plum, cinnamon, white pepper and mineral. Impeccably balanced with polished tannins and freshness, it impresses for its combination of intensity and elegance. Drink 2018–2028.","96",96,"Tuscany","Fuligni 2010  Brunello di Montalcino","Sangiovese","2010"
"115796","Red","France","Firm and structured, this beautifully concentrated wine has plenty of the dark tannins that come out of Cabernet Sauvignon in Saint-Estèphe while allowing room for juicy fruit. The wood aging is still showing, giving some spice to the wine. At the end, it's the density of the wine that's so impressive. Drink from 2024.","70",96,"Bordeaux","Château Calon Ségur 2012  Saint-Estèphe","Bordeaux-style Red Blend","2012"
"115797","Red","Italy","This radiant wine is loaded with finesse, opening with an alluring fragrance of rose, violet and a whiff of pressed powder. The firm, linear palate offers bright cherry, crushed red berry, white pepper and a hint of tobacco alongside a backbone of fine-grained tannins and bright acidity. It's impeccably balanced but youthfully austere and needs to open up. Drink 2020–2035.","180",96,"Tuscany","Biondi Santi 2010  Brunello di Montalcino","Sangiovese","2010"
"115798","Red","France","This combines considerable power and concentration with rich, impressive fruits. It has both style and elegance, with density to give it great aging potential. The tannins are firm while also having a velvet texture. The wine, dominated by Cabernet Sauvignon, is for serious aging. Drink from 2025.","140",96,"Bordeaux","Château Léoville Las Cases 2012  Saint-Julien","Bordeaux-style Red Blend","2012"
"115799","Red","France","This is closed up, dry and tough on the outside. But you can feel the rich weight and the dark tannins along with the powerful structure. That makes this wine both replete with a firm character and also full of generous, concentrated black fruits. It's a powerful wine, ready for good aging; drink from 2022.","275",96,"Bordeaux","Château La Mission Haut-Brion 2012  Pessac-Léognan","Bordeaux-style Red Blend","2012"
"115801","Red","US","Gorgeous aromas of clove, cinnamon, ripe black fruit and whiffs of pine and herb make a great start. The flavors are equally compelling and classic, blending cinnamon and black cherry with hints of rosemary and rhubarb. These all glide on a soothing texture that rests lightly on firm tannins and fresh acidity, resulting in a fascinating and complex taste experience.","68",96,"California","Dutton-Goldfield 2012 Devil's Gulch Vineyard Pinot Noir (Marin County)","Pinot Noir","2012"
"115802","Red","US","Impeccable elegance characterizes this vintage of the producer's marquee Bordeaux-style blend, an expert finessing of 82% Cabernet Sauvignon, 11% Petit Verdot, 4% Malbec, 2% Merlot and 1% Cabernet Franc. Juicy in exotic black fruit, it stands tall, with silky, towering shoulders of herb, cardamom and clove that will coalesce beautifully over time. Hold through 2026.","225",96,"California","Joseph Phelps 2011 Insignia Estate Grown Red (Napa Valley)","Bordeaux-style Red Blend","2011"
"115803","Dessert","France","Well balanced, this gorgeous ripe wine is packed full of fresh yellow fruits, ripe oranges and lemon. The fruit counterpoints the generous, dense structure, offering the dry core of botrytis. Acidity gives a line of freshness at the end. Drink from 2020.","84",96,"Bordeaux","Château Coutet 2011  Barsac","Bordeaux-style White Blend","2011"
"115804","Red","France","Showing the serious side of Lafite, this is big and dark, powered by tannins as much as fruit. The wood aging is still showing, although that will integrate into the great structure that holds up the ripe black currant fruits. Totally dominated by some of the finest Cabernet Sauvignon in Bordeaux, this wine has strength while also having great freshness. Drink from 2024.","550",96,"Bordeaux","Château Lafite Rothschild 2012  Pauillac","Bordeaux-style Red Blend","2012"
"115805","Red","France","This is a beautifully opulent wine, great Mouton in its richness and succulent fruits. It's combines structure and obvious new-wood aging with hugely ripe black plum and currant flavors. While it is a pleasure to taste now, there is a great tannic structure in the background to give the sense of power and aging potential. Drink from 2024.","365",97,"Bordeaux","Château Mouton Rothschild 2012  Pauillac","Bordeaux-style Red Blend","2012"
"115807","Red","Italy","Full bodied and silky, this fragrant wine conveys violet, perfumed berry and baking spice. The smooth, pristine palate delivers juicy, bright cherry, crushed raspberry, white pepper and cinnamon alongside supple tannins and fresh acidity. It already boasts remarkable depth and a luminous quality that will gain in complexity with more aging. Drink 2018–2038.","360",97,"Tuscany","Poggio di Sotto 2008 Riserva  (Brunello di Montalcino)","Sangiovese","2008"
"115808","Red","Italy","Multifaceted fragrances suggest violet, rose, red berry, baking spice, savory herb and a balsamic note. Elegant with great intensity, the radiant palate delivers juicy wild cherry, crushed berry, cinnamon and a note of star anise alongside a backbone of assertive, fine-grained tannins and bright acidity. It's a gorgeous wine with breeding and class that needs time to bloom fully. Drink 2020–2035.","75",97,"Tuscany","Il Marroneto 2010  Brunello di Montalcino","Sangiovese","2010"
"115809","Dessert","France","This is a rich, complex wine, full of dry botrytis that is surrounded by ripe honey. Spice, white peach and green plum jelly give complexity and variety. The acidity at the end is beautiful. The wine is already enticing but will need many years to develop fully. Drink from 2022.","145",97,"Bordeaux","Château Climens 2011  Barsac","Bordeaux-style White Blend","2011"
"115810","Red","Spain","Lightly baked and hinting at raisin and fine herbs, the bouquet on this benchmark Spanish red enfolds aromas of tobacco, moss and ripe tomato. In the mouth, it's elegant and silky but also full and expansive. Flavors of baked berry fruits, baking spices, herbs and cocoa finish with a light coating of toast. This is an amazingly complete, exemplary wine that's just entering its prime. If past vintages of Unico are an indication, it will age well through 2035.","480",98,"Northern Spain","Vega Sicilia 2004 Unico  (Ribera del Duero)","Tempranillo Blend","2004"
"115811","Red","Italy","Beautiful aromas of violet, rose, pressed powder, perfumed berry and refreshing mint mingle in the glass. The focused palate boasts power and finesse, and delivers a great depth of flavors including ripe black cherry, licorice, tobacco and mineral. It's still young, with youthfully austere tannins and bright acidity, but this has the fruit richness and structure for lengthy aging. Hold for complexity; drink 2020–2040.","130",99,"Tuscany","Il Marroneto 2010 Madonna delle Grazie  (Brunello di Montalcino)","Sangiovese","2010"
"117302","Red","US","Separate from the other Original Vines bottling, this is part of the new single-vineyard series, and includes the famed South Block grapes. Lush and fragrant, full-bodied yet in the classic, elegant Eyrie tradition, this bursts with complexity. Bramble, cherries, strawberry preserves, coffee grounds and a hint of root beer come together in a deep, dense and thoroughly delicious wine.","85",96,"Oregon","The Eyrie Vineyards 2012 Original Vines Estate Pinot Noir (Dundee Hills)","Pinot Noir","2012"
"117303","Red","US","Even by past standards, this new vintage of Sineann's Old Vine Zin is spectacular, with ripe, jammy, concentrated fruit flavors of fig, black cherry and purple plum. The balance among the fruit, acidity, tannin and alcohol is spot-on, without blowing away the more subtle compexity of the old vine fruit.","39",95,"Oregon","Sineann 2013 Old Vine Zinfandel (Columbia Gorge (OR))","Zinfandel","2013"
"117382","White","France","This is a sweet wine, very ripe with a smooth, opulent texture. It's full of lychee and peach flavors, allowing just a corner for acidity and freshness. This is just beginning to develop into its impressive and full potential. Drink from 2018.","85",95,"Alsace","Domaine Zind-Humbrecht 2012 Goldert Grand Cru Gewurztraminer (Alsace)","Gewürztraminer","2012"
"117387","Red","US","This hillside-grown wine is only vineyard-designated in special vintages. The nose is like a delicate pine sap, with elements of spearmint, sweet camphor and anise set against light raspberry juice. It's elegant but energetic, with soy sauce, clove and menthol highlighting the hibiscus and red and purple fruits.","60",95,"California","Laetitia 2012 La Colline Single Vineyard Pinot Noir (Arroyo Grande Valley)","Pinot Noir","2012"
"117388","White","US","This classic Chardonnay brims in lemon chiffon, stony minerality and luscious pear. The complex, soft, supple layers continue to surprise in the glass, teasing the palate with unexpected notes of nutmeg and Tahitian vanilla.","55",95,"California","Williams Selyem 2012 Allen Vineyard Chardonnay (Russian River Valley)","Chardonnay","2012"
"117391","Red","Italy","Layered fragrances suggest perfumed berry, orange zest, crushed wild flower, baking spice and tobacco. The smooth, full-bodied palate delivers a great depth of flavors that include creamy cherry, juicy raspberry, thyme, mint, cocoa and energizing mineral. It's superbly balanced with fresh acidity and velvety tannins. Drink 2015–2024.","80",95,"Sicily &amp; Sardinia","Passopisciaro 2012 Contrada P Nerello Mascalese (Terre Siciliane)","Nerello Mascalese","2012"
"117395","White","France","This is a sweet Gewurztraminer, almost a dessert style. The name comes from a title whose origins date back to the Dark Ages in Europe. The wine is rich, now fully matured, a wonderful medley of ripe fruits, honey and spice. Layers of flavors are interspersed with acidity that lifts the wine. It's opulent, delicious and ready to drink.","59",95,"Alsace","Trimbach 2008 Cuvée des Seigneurs de Ribeaupierre Gewurztraminer (Alsace)","Gewürztraminer","2008"
"117396","Red","US","This vineyard-designated wine reflects its sense of place remarkably well, offering tight dark cherry and blueberry around a strong character of wild earth, tea and herb. High in acidity and minerality, and yet powerfully understated, it's gorgeously drinkable now but will gain further complexity through 2022.","78",95,"California","Williams Selyem 2012 Hirsch Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","2012"
"117397","White","US","This marks the debut of the Ramos Vineyard Chardonnay, inspired by a high-elevation site planted in 2001 by the late Bob Sessions and Jose Ramos, now director of vineyard operations. The wine paints a portrait of high-toned, elegant minerality accented by peach and lithe lemon. Capable of aging, it dances in acidity, with just a hint of caramel-vanilla on the finish. Made in tiny quantities, it's worth desperately seeking out.","78",95,"California","Hanzell 2012 Ramos Vineyard Chardonnay (Sonoma Valley)","Chardonnay","2012"
"117402","Red","US","Fresh-picked Bing cherry delights on the initial entry into this silky Pinot, sourced from a long-famous site in the heart of the Russian River. Medium-bodied and nicely structured, it offers ample concentration around a core of elegance, with a lingering finish of vibrant cherry. Enjoy through 2022.","79",95,"California","Williams Selyem 2012 Rochioli Riverblock Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","2012"
"117405","Red","US","Homer is the estate reserve, wood-tank fermented and blended from the winemaker's best barrels. Aromatic and toasty, it takes many hours to open fully, revealing a dense core of ripe cherry fruit wrapped in a mélange of tasty, toasty barrel flavors. Along with the gorgeous fruit comes a cavalcade of chocolate, caramel and buttered nuts. Drink now through 2020.","86",95,"Oregon","Shea 2012 Shea Vineyard Homer Pinot Noir (Willamette Valley)","Pinot Noir","2012"
"117406","Red","US","Silky on the palate, this offers exotic aromas of orange blossom and spicy cardamom. Juicy in fresh cherry, it combines structured elegance and plenty of power, amid a mouthwatering quality that's seductively delicious and yet just begs the question of how much more nuanced the flavors will be in time. Drink through 2022.","105",95,"California","Williams Selyem 2012 Williams Selyem Estate Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","2012"
"117407","Red","Italy","Aromas of rose petal, perfumed berry and exotic spice lead the nose. It's radiant, with wonderful intensity and elegance, delivering ripe red cherry, raspberry compote, mineral, licorice, baking spice and a hint of mint alongside a backbone of firm, fine-grained tannins and edgy acidity. Despite the full structure and youthful tension, it has a remarkably silky, supple texture. Drink 2018–2032.","60",95,"Sicily &amp; Sardinia","Passopisciaro 2012 Contrada R Nerello Mascalese (Terre Siciliane)","Nerello Mascalese","2012"
"117408","White","US","This reserve-level cuvée has been made since 2004, but in severely limited amounts. A mix of one-third new, one-third once-used and one-third neutral oak barrels aged the blend. Rich, tight and sappy, it shows generous ripe stone and tropical fruits, along with rich layers of butterscotch and toast. Drink now through 2025.","65",95,"Oregon","Domaine Drouhin Oregon 2012 Édition Limitée Chardonnay (Dundee Hills)","Chardonnay","2012"
"117411","Red","US","Full-bodied and exuberant in lush tannins, this black Shiraz is concentrated and rich in hearty leather, espresso and black tea yet buoyed by lively acidity and beautiful streaks of black and white pepper. Enjoy now or through 2021.","74",95,"California","Darioush 2011 Signature Series Shiraz (Napa Valley)","Shiraz","2011"
"117412","White","US","Those who think they prefer anything but Chardonnay may be convinced otherwise with this wine. It is so powerfully evocative in crisply rendered Meyer lemon and tangerine notes, with aromas of fresh white flowers teasing provocatively on the nose. Seamless and seductively bright in acidity, it glides down the palate, hinting at a richness that never becomes overdone.","65",96,"California","Williams Selyem 2012 Drake Estate Vineyard Chardonnay (Russian River Valley)","Chardonnay","2012"
"117422","Red","US","A block selection, this most rare offering from DDO has rippingly good aromatics, intense and complex, with dusty, dreamy spices wrapped around a seamless mix of berry, earth and herbal components. The somewhat gritty texture gives it muscle and length, and the overall complexity suggests it can age for up to a quarter century. Drink now through 2035.","85",96,"Oregon","Domaine Drouhin Oregon 2011 Édition Limitée Pinot Noir (Dundee Hills)","Pinot Noir","2011"
"117424","White","France","With its strongly mineral-textured base, this is a complex, impressive wine. It has fruit weight with lychees, mangos and spiced pears along with acidity that gives the wine just the lift it needs. Power and style go hand-in-hand in this wine. Drink from 2019.","120",96,"Alsace","Domaine Zind-Humbrecht 2012 Clos Saint Urbain Rangen de Thann Grand Cru Gewurztraminer (Alsace)","Gewürztraminer","2012"
"117425","Red","US","Sanguine and brooding in dense layers of juicy black fruit, leather and tobacco, this is classic Napa Valley Cabernet with an elegance at its core, that's also seamless, complex and age-worthy. From relatively cooler sites in Oak Knoll and Mount Veeder, and a cooler year too, this vintage sings for this producer, showing balance and power in equal measure.","95",96,"California","Darioush 2011 Signature Series Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2011"
"117427","Red","Spain","Gorgeous aromas of toasty oak, wood smoke, minerals and layered black fruits feed into a concentrated, thick palate that demands a knife and fork for dissection. Flavors of toast, vanilla bean, woodspice, bacon, mint and blackberry are lush. Give this beauty another couple of years, then drink through 2022.","150",97,"Northern Spain","Emilio Moro 2010 Malleolus de Valderramiro  (Ribera del Duero)","Tinto Fino","2010"
"117433","Red","US","This is beautifully lilting in preciously defined aromas of rose petal and wild strawberry. From there, it's all subtlety and ethereal elegance. The wine is restrained, nurtured in a basket of nutmeg and graham cracker, as well as freshly packed mushroomy earth. This wine is a stunner right out of the glass, but is sure to continue its fine course through 2022–2025.","59",97,"California","Williams Selyem 2012 Bucher Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","2012"
"118912","White","Austria","Beautifully lifted, almost sublimated apple and citrus fruit combine to make a perfumed, appetizing nose. That pure apple theme continues on the concentrated palate that sings with purity to leave a satisfying and honest impression of completeness. Pure and simply very delicious.","35",96,"Kamptal","Bründlmayer 2013 Heiligenstein Reserve Lyra Riesling (Kamptal)","Riesling","2013"
"118913","Red","US","This wine shines with notes of smoked meat, mineral, dark coffee and earthy funk. The flavors are dense, rich and voluptuous, while retaining an exquisite sense of balance. It's an exclamation point of a wine that's approachable now.","50",95,"Washington","Avennia 2012 Arnaut Boushey Vineyard Syrah (Yakima Valley)","Syrah","2012"
"118915","Red","US","Since this is the winery's largest production Pinot, but still under 1,000 cases, buyers actually have a chance of finding this full-bodied beauty. Sly on the nose, it is tense in toasty oak and chewy cherry, venturing into black cherry, blackberry and root beer. It's amply structured and robust, yet with silky tannins. Enjoy through 2022.","52",95,"California","Williams Selyem 2012 Eastside Road Neighbors Pinot Noir (Russian River Valley)","Pinot Noir","2012"
"118916","Red","US","Serious but oh-so-delicious at the same time, this wine can be poured now or cellared through at least 2020 for more interesting nuances to emerge and for the chewy but velvety tannins to mellow. A great mix of dark cherry, tobacco, chocolate and espresso comes out in the aroma, and the flavors echo the same exciting complexity.","75",95,"California","Hourglass 2012 Blueline Estate Merlot (Napa Valley)","Merlot","2012"
"118917","White","Austria","Both ripe red apple and crisp green Granny Smith play on the nose, however, they are laced with both honey and zesty citrus, creating thrill. This is wonderfully poised and invigorating. Totally streamlined and linear, it's a wine to enjoy now and for years to come.","35",95,"Kremstal","Hiedler 2013 Steinhaus Reserve Riesling (Kremstal)","Riesling","2013"
"118918","Red","US","The winery's prowess in blending fruit from distinct sites shows through with this 100% Syrah, a high proportion of which was whole-cluster fermented. Hedonistic streaks of pepper hit the nose first before developed layers of peppery cherry and blueberry pique the palate. Given an extra year in bottle after extended time in barrel, it balances smoky chocolate richness against vibrant acidity and silky mouthfeel.","75",95,"California","Donelan 2011 Cuvée Keltie Syrah (Sonoma County)","Syrah","2011"
"118919","Red","Austria","Aromatic and spicy fruit speaks here: ripe blueberry and black cherry with brooding insinuations of flower and earth. The customary pepperiness is in attendance, too, but the structured palate bids you to wait. This is firm and focused and for now tightly corseted. Give this until 2017–2019 in bottle for its full beauty and aroma to emerge.","129",95,"Burgenland","Prieler 2011 Goldberg Blaufränkisch (Burgenland)","Blaufränkisch","2011"
"118920","Red","US","The winery's second vintage from this site, Calegari is medium-weight, with structured oak and a silky palate. It's a ripe expression of anise and red cherry that's juicy, spicy and complex, with pretty violet aromas.","55",95,"California","Williams Selyem 2012 Calegari Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","2012"
"118921","Red","Italy","Violet, perfumed berry, menthol and thyme are just some of the aromas offered by this fragrant Barbaresco. The structured, graceful palate weaves together red cherry, crushed raspberry, cinnamon and a balsamic note. It's impeccably balanced with firm but polished tannins and bright acidity that provide an age-worthy framework. Drink 2017–2025.","55",95,"Piedmont","Rizzi 2010 Nervo  (Barbaresco)","Nebbiolo","2010"
"118922","Fortified","Australia","Morris is one of the grand old names of Rutherglen, but it has been underrepresented in the U.S. market before now, which no doubt accounts for the consumer-friendly pricing. This nearly black wine reveals scents of mocha and damp moss. There's a profound rancio quality from stem to stern, while dark notes of molasses and dried dates fill in the midpalate and linger on the finish.","85",95,"Victoria","Morris NV Old Premium Rare Liqueur Muscat (Rutherglen)","Muscat",NULL
"118924","White","Austria","Strikingly golden in color this tightly holds very ripe yellow pear fruit and dark honey. With time in glass, fresh and ripe pineapple tantalizes. The palate is concentrated and has a pleasantly bitter phenolic edge, stony definition and a core of freshness. The undeniably ripe fruit is still tightly corseted and will need cellaring to express itself. Drinks as of 2018.","92",95,"Wachau","Franz Hirtzberger 2013 Honivogl Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2013"
"118926","Red","Austria","This is slow to open up but with patience it reveals gently floral overtones of dark peony and a whispering, peppery spiciness. The fruit is of ripe, red cherry. The texture is firm, crunchy but will yield into velvety smoothness by waiting until 2017–2018 in bottle. This is complete, promising and seductive. Bravo.","80",95,"Thermenregion","Johanneshof Reinisch 2012 Holzspur St. Laurent (Thermenregion)","St. Laurent","2012"
"118927","White","Austria","An appetizing combination of ripe, red-cheeked apple, pink grapefruit and Amalfi lemon promise exuberant but expertly expressed fruit. This is joined by the spiciness of white pepper that is resonant, concentrated and ethereally aromatic. Citrus and fruit flavors linger long and convincingly.","42",95,"Wachau","Lagler 2013 Spitzer 1000 Eimerberg Smaragd Riesling (Wachau)","Riesling","2013"
"118929","Sparkling","France","A limited-edition vintage that Perrier-Jouët releases for summer drinking. It has weight and richness with a soft, fruity dosage that gives touches of yeast and fragrant acidity. Ripe apple, raspberry and citrus fruits are still very present in this wine that is full and balanced. It could do with more bottle age to bring out more of the toast that is just beginning, so drink from 2016.","250",95,"Champagne","Perrier Jouët 2007 Belle Epoque Edition Première Brut  (Champagne)","Champagne Blend","2007"
"118930","Sparkling","France","The palest of rosés, this crisp, bright and fruity wine is full of tight acidity, freshly picked raspberries and steely acidity. It could age a few more years to bring out a toastier character. The specially designed bottle has a hummingbird etched on the inside and gold on the outside.","300",95,"Champagne","Perrier Jouët 2005 Belle Epoque Brut Rosé  (Champagne)","Champagne Blend","2005"
"118932","White","Austria","Fresh, bright pear on the nose gives way to far more focused, even linear lemon on an extremely streamlined palate. This is racy, ripe but laser-sharp. A wine of great precision and purity with immense impact and mileage.","40",95,"Kremstal","Proidl 2013 Ehrenfels Reserve Grüner Veltliner (Kremstal)","Grüner Veltliner","2013"
"118933","White","Austria","Yellow plum and Amalfi lemon lead a merry dance on nose and palate. A yeasty edge pulls them down to earth, but their exuberance is evident, swirling and barely contained. This is lively, refreshing and totally invigorating. A celebration of ripe citrus draws a dynamic and dizzying fault line across the palate. Currently, minerality lurks in the background while the fruit dances. This will change intriguingly with time.","70",95,"Wachau","Franz Hirtzberger 2013 Hochrain Smaragd Riesling (Wachau)","Riesling","2013"
"118934","Red","Austria","Right now this speaks of earth, forest floor and oak leaf—but not in a mature way. This Pinot takes time to show the glorious red cherry that is there in abundance, caressed by gentle, smoky oak. This will take time to blossom but will reward patience. Balance between acidity and silken body is evident and the layers of leaf, earth, cherry, smoke and minerality will continue in their infinite Pinot alchemy. Drink as of 2016.","80",95,"Thermenregion","Johanneshof Reinisch 2012 Holzspur Pinot Noir (Thermenregion)","Pinot Noir","2012"
"118935","Red","Australia","One of the more approachable of the d'Arenberg single-vineyard collection of wines, this opens with notes of brown sugar, tarry fruit and bright cassis. It's full bodied and creamy in texture, with flavors of mocha, cassis and vanilla that culminate in a long, dusty finish. Drink now–2025.","85",95,"South Australia","D'Arenberg 2010 Little Venice Single Vineyard Shiraz (McLaren Vale)","Shiraz","2010"
"118936","White","Austria","Ripe top notes of apricot and peach seduce right from the start. The tenor here is ripe, luscious stonefruit, highlighted by pure lemon zestiness that gives the impression of dimension-transcending linearity. It entices you to drink and explore more of that hinted-at spiciness and minerality.","49",95,"Wachau","Domäne Wachau 2013 Achleiten Smaragd Riesling (Wachau)","Riesling","2013"
"118937","White","Austria","Streamlined, citric freshness dominates every delicious aspect of this wine: the fresh, zingy nose, the ripe and supremely juicy palate with its swirls of both ripe and tart apples, and the extended finish. This is mouth-watering stuff. It's cushioned but extremely sleek, apple-fruity, very moreish and so very pure.","41",95,"Kamptal","Bründlmayer 2013 Heiligenstein Alte Reben Reserve Riesling (Kamptal)","Riesling","2013"
"118939","White","Austria","The scent of very ripe Amalfi lemon hovers above everything but the second sniff immediately signals juicy Mirabelle plums edged with Golden Delicious apple. The palate is equally ripe and smooth—warm sunshine refracted through a prism of opulent fruit, yet toned and precise. Some exposure to air reveals a distinctly stony minerality. A keeper.","72",95,"Wachau","Alzinger 2013 Steinertal Smaragd Riesling (Wachau)","Riesling","2013"
"118940","White","Austria","Floral notes play above the aromatic woodruff and fig-leaf aromas which make this incredibly enticing. The palate is slender, tight and totally concentrated. This is nervy, high-octane stuff, for now boasting lemon and pink grapefruit, without a single ounce of fat—and yet this is not ungenerous.","31",95,"Wachau","Pichler-Krutzler 2013 Supperin Grüner Veltliner (Wachau)","Grüner Veltliner","2013"
"118941","Red","Chile","Cool aromas of cola, coffee, blackberry, stewed plum, herbs and minerals make for a highly attractive and complex bouquet. In the mouth, wall-to-wall power and tannins suggest that this needs a few more years to mellow out. Flavors of stewed plum, blackberry, Carolina barbecue sauce and a hint of citrus peel are complex and set up a deep finish with dark flavors and intensity to spare. Drink from 2016 through 2025. The blend is 57% Carmenère, 34% Cabernet Sauvignon and 9% Merlot.","110",95,"Colchagua Valley","Lapostolle 2011 Clos Apalta Red (Colchagua Valley)","Red Blend","2011"
"118942","Red","Austria","Elderberry with edges of tar and smoke, a floral lift and lots of black cherry are the aromatic hallmarks. The palate is muscular but svelte. The structured core of ripe but firm tannin can barely contain the luxuriating, dark elderberry and cherry fruit. This is lovely and crunchy now but will be far better 2017–2018. This is both big and elegant.","79",95,"Südburgenland","Krutzler 2012 Perwolff Blaufränkisch (Südburgenland)","Blaufränkisch","2012"
"118943","Red","Australia","Full-bodied and lushly textured, this standout Cabernet showcases huge, superripe fruit, lashings of creamy, vanilla-laden oak and a long finish. It's still embryonic in terms of its development, but lovers of big New World Cabernets will find it enjoyable already.","350",95,"South Australia","Penfolds 2010 Bin 707 Cabernet Sauvignon (South Australia)","Cabernet Sauvignon","2010"
"118945","White","Austria","The remarkably powerful nose takes time to open up, hinting at yellow flowers, fern fronds, beeswax and citrus. The palate is immensely concentrated but not heavy, with a sleek density and a feeling that this has barely begun to breathe. Hang on to this; soft sprays of pepper hint at the pleasure to come. Drink as of 2017.","55",95,"Wachau","Franz Hirtzberger 2013 Axpoint Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2013"
"118947","Red","US","A perennial standout for good reason, this Pinot is light in color and elusive at first. Teasing in baked strawberry-rhubarb, it subtly offers a rare purity of focused fruit flavor, with gorgeous aromas of dewy rose petals playing a substantial supporting role. Thanks to subtle oak, the finish builds in terms of intensity, with the wine maintaining a delicate balance of minerality.","82",96,"California","Williams Selyem 2012 Allen Vineyard Pinot Noir (Russian River Valley)","Pinot Noir","2012"
"118948","White","Austria","A zesty nose promises refreshment and poise. The palate not only keeps this promise but tops it. Orange, mandarin and lemon frame riper peach and Mirabelle plum explode like a firework of fruit on the palate. This is fruit-framed, citrus-focused joy, combining immense concentration with immense elegance. There is a long and exciting life ahead of this.","99",96,"Wachau","Franz Hirtzberger 2013 Singerriedl Smaragd Riesling (Wachau)","Riesling","2013"
"118949","Red","Australia","D'Arenberg's lineup of single-vineyard Shirazes is especially impressive in the 2010 vintage, and this was one of my favorites. The aromas are tight, nearly impenetrable at first, then only stubbornly yielding hints of graphite, but the mouthfeel is expansive and richly textured. Aristocratic notes of pencil shavings balance supple tannins and layers of dark fruit, concluding in espresso and chocolate on the finish. Drink now–2030.","85",96,"South Australia","D'Arenberg 2010 The Swinging Malaysian Single Vineyard Shiraz (McLaren Vale)","Shiraz","2010"
"118950","Red","US","Just beautiful, this wine combines spicy, arresting aromas, vivid, bright cherry and raspberry flavors, an electric mouthfeel and bracing texture. All nerve and muscle, and no fat, it is vibrant in acidity, with firm tannins that support the enticing fruit flavors. Virtually irresistible now, this will gain complexity through at least 2022.","65",96,"California","Williams Selyem 2012 Ferrington Vineyard Pinot Noir (Anderson Valley)","Pinot Noir","2012"
